"Expenses  > Salary Expenses ( 401001 ) ",
EE-2025-0000255,401002,Bonus,Sweeper ,01-01-2026,Being paid to ganesh for bonus,,, Bonus ,401002,1800,,

"Balance : 4800(Debit)","","","","","","","","","","4800","0",

"Expenses  > Property Tax - Members ( 402001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Property Tax - Members ","402001","","",
EE-2025-0000304,402001,Property Tax - Members,BMC - Property Tax,15-05-2025,01.04.2025 To 30.09.2025,,, Property Tax - Members ,402001,59025,,
EE-2025-0000305,402001,Property Tax - Members,BMC - Property Tax,15-05-2025,01.10.2025 TO 31.03.2026,,, Property Tax - Members ,402001,59025,,

"Balance : 118050(Debit)","","","","","","","","","","118050","0",

"Expenses  > Electricity Expenses ( 403001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Electricity Expenses ","403001","","",
EE-2025-0000021,403001,Electricity Expenses,TATA Power,25-04-2025,CA 900000279781 - Apr 25,,, Electricity Expenses ,403001,1532,,
EE-2025-0000022,403001,Electricity Expenses,TATA Power,25-04-2025,CA 900000279932 Apr 25,,, Electricity Expenses ,403001,1847,,
EE-2025-0000023,403001,Electricity Expenses,TATA Power,25-04-2025,CA 900000279871 Apr 25,,, Electricity Expenses ,403001,1156,,
EE-2025-0000027,403001,Electricity Expenses,TATA Power,25-05-2025,CA 900000279932 - May 25,,, Electricity Expenses ,403001,1754,,
EE-2025-0000028,403001,Electricity Expenses,TATA Power,25-05-2025,CA 900000279871 - May 25,,, Electricity Expenses ,403001,1297,,
EE-2025-0000029,403001,Electricity Expenses,TATA Power,25-05-2025,CA 900000279781 - May 25,,, Electricity Expenses ,403001,1891,,
EE-2025-0000033,403001,Electricity Expenses,TATA Power,24-06-2025,CA 900000279781 - June 25,,, Electricity Expenses ,403001,1863,,
EE-2025-0000034,403001,Electricity Expenses,TATA Power,24-06-2025,CA 900000279871 - June 25,,, Electricity Expenses ,403001,1166,,
EE-2025-0000035,403001,Electricity Expenses,TATA Power,24-06-2025,CA 900000279932 - June 25,,, Electricity Expenses ,403001,2017,,
EE-2025-0000039,403001,Electricity Expenses,TATA Power,26-07-2025,CA 900000279781 - July 25,,, Electricity Expenses ,403001,1892,,
EE-2025-0000040,403001,Electricity Expenses,TATA Power,26-07-2025,CA 900000279932 - July 25,,, Electricity Expenses ,403001,2094,,
EE-2025-0000041,403001,Electricity Expenses,TATA Power,26-07-2025,CA 900000279871 - July 25,,, Electricity Expenses ,403001,1235,,
EE-2025-0000170,403001,Electricity Expenses,TATA Power,01-09-2025,Being amount paid towards tata power electricity bill month of - Aug 2025,,, Electricity Expenses ,403001,1825,,
EE-2025-0000172,403001,Electricity Expenses,TATA Power,01-09-2025,Being amount paid towards tata power electricity bill month of - Aug 2025,,, Electricity Expenses ,403001,1915,,
EE-2025-0000174,403001,Electricity Expenses,TATA Power,01-09-2025,Being amount paid towards tata power electricity bill month of - Aug 2025,,, Electricity Expenses ,403001,1215,,
EE-2025-0000177,403001,Electricity Expenses,TATA Power,03-10-2025,Being amount paid towards tata power electricity bill month of - Sep 2025,,, Electricity Expenses ,403001,1176,,
EE-2025-0000179,403001,Electricity Expenses,TATA Power,03-10-2025,Being amount paid towards tata power electricity bill month of - Sep 2025,,, Electricity Expenses ,403001,2004,,
EE-2025-0000181,403001,Electricity Expenses,TATA Power,03-10-2025,Being amount paid towards tata power electricity bill month of - Sep 2025,,, Electricity Expenses ,403001,2254,,
EE-2025-0000186,403001,Electricity Expenses,TATA Power,03-11-2025,Being amount paid towards tata power electricity bill month of - Oct 2025,,, Electricity Expenses ,403001,1910,,
EE-2025-0000188,403001,Electricity Expenses,TATA Power,03-11-2025,Being amount paid towards tata power electricity bill month of - Oct 2025,,, Electricity Expenses ,403001,1247,,
EE-2025-0000190,403001,Electricity Expenses,TATA Power,03-11-2025,Being amount paid towards tata power electricity bill month of - Oct 2025,,, Electricity Expenses ,403001,2551,,
EE-2025-0000279,403001,Electricity Expenses,TATA Power,01-12-2025,Being amount paid towards tata power electricity bill month of - Nov 2025,,, Electricity Expenses ,403001,1173,,
EE-2025-0000281,403001,Electricity Expenses,TATA Power,01-12-2025,Being amount paid towards tata power electricity bill month of - Nov 2025,,, Electricity Expenses ,403001,2061,,
EE-2025-0000283,403001,Electricity Expenses,TATA Power,01-12-2025,Being amount paid towards tata power electricity bill month of - Nov 2025,,, Electricity Expenses ,403001,2544,,
EE-2025-0000192,403001,Electricity Expenses,TATA Power,02-01-2026,Being amount paid towards tata power electricity bill month of - Dec 2025,,, Electricity Expenses ,403001,2582,,
EE-2025-0000194,403001,Electricity Expenses,TATA Power,02-01-2026,Being amount paid towards tata power electricity bill month of - Dec 2025,,, Electricity Expenses ,403001,1259,,
EE-2025-0000196,403001,Electricity Expenses,TATA Power,02-01-2026,Being amount paid towards tata power electricity bill month of - Dec 2025,,, Electricity Expenses ,403001,2119,,
EE-2025-0000198,403001,Electricity Expenses,TATA Power,02-02-2026,Being amount paid towards tata power electricity bill month of - Jan 2026,,, Electricity Expenses ,403001,2378,,
EE-2025-0000200,403001,Electricity Expenses,TATA Power,02-02-2026,Being amount paid towards tata power electricity bill month of - Jan 2026,,, Electricity Expenses ,403001,2238,,
EE-2025-0000202,403001,Electricity Expenses,TATA Power,02-02-2026,Being amount paid towards tata power electricity bill month of - Jan 2026,,, Electricity Expenses ,403001,1206,,
EE-2025-0000210,403001,Electricity Expenses,TATA Power,04-03-2026,Being amount paid towards tata power electricity bill month of - Feb 2026,,, Electricity Expenses ,403001,1096,,
EE-2025-0000211,403001,Electricity Expenses,TATA Power,04-03-2026,Being amount paid towards tata power electricity bill month of - Feb 2026,,, Electricity Expenses ,403001,2224,,
EE-2025-0000212,403001,Electricity Expenses,TATA Power,04-03-2026,Being amount paid towards tata power electricity bill month of - Feb 2026,,, Electricity Expenses ,403001,2001,,
EE-2025-0000368,403001,Electricity Expenses,TATA Power,31-03-2026,March 2026,,, Electricity Expenses ,403001,2278,,
EE-2025-0000369,403001,Electricity Expenses,TATA Power,31-03-2026,March 2026,,, Electricity Expenses ,403001,966,,
EE-2025-0000370,403001,Electricity Expenses,TATA Power,31-03-2026,March 2026,,, Electricity Expenses ,403001,1992,,

"Balance : 63958(Debit)","","","","","","","","","","63958","0",

"Expenses  > Water Expenses ( 404001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Water Expenses ","404001","","",
EE-2025-0000049,404001,Water Expenses,MCGM,29-04-2025,CNN PN 0003220 - Period 09.01.25 to 07.04.25  88 days  - 718 kl,,, Water Expenses ,404001,7762,,
EE-2025-0000308,404001,Water Expenses,MCGM,11-07-2025,CCN PN 0003220 91 Days 07.04.2025 to 07.07.2025,,, Water Expenses ,404001,8133,,
EE-2025-0000313,404001,Water Expenses,MCGM,25-11-2025,PN 0003220 07.07.2025 TO 06.10.2025,,, Water Expenses ,404001,8083,,
EE-2025-0000367,404001,Water Expenses,MCGM,24-03-2026,06-10-2025 to 06-01-2026,,, Water Expenses ,404001,7884,,
JE-2025-0000067,404001,Water Expenses,,01-04-2025,Being provision from 9th Jan to 31st Mar 25 - 81 days,,, Water Expenses ,404001,,7145.00,
JE-2025-0000066,404001,Water Expenses,,31-03-2026,Being water provision for the periode 06.01.26 to 31.03.26,,, Water Expenses ,404001,7198.00,,

"Balance : 31915(Debit)","","","","","","","","","","39060","7145",

"Expenses  > Repair & Maintenance Expenses ( 404004 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Repair & Maintenance Expenses ","404004","","",
EE-2025-0000091,404004,Repair & Maintenance Expenses,Unassigned,22-05-2025,Repair & labour charges,,, Repair & Maintenance Expenses ,404004,1650,,

"Balance : 1650(Debit)","","","","","","","","","","1650","0",

"Expenses  > Lift AMC Expenses ( 405001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Lift AMC Expenses ","405001","","",
EE-2025-0000169,405001,Lift AMC Expenses,Siddhi Lifts,09-04-2025,Being paid Lift AMC Period April 2025 to Mar 2026,,, Lift AMC Expenses ,405001,10000,,

"Balance : 10000(Debit)","","","","","","","","","","10000","0",

"Expenses  > Lift Repair & Maintenance ( 405002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Lift Repair & Maintenance ","405002","","",
EE-2025-0000204,405002,Lift Repair & Maintenance,Siddhi Lifts,12-01-2026,Being supply and fixing of pulley at ground floor,,, Lift Repair & Maintenance ,405002,8500,,
EE-2025-0000298,405002,Lift Repair & Maintenance,R.K. ENTERPRISES,11-03-2026,50% Lift Modernisation Work,,, Lift Repair & Maintenance ,405002,135000,,

"Balance : 143500(Debit)","","","","","","","","","","143500","0",

"Expenses  > Garden Maintenance Expenses ( 406001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Garden Maintenance Expenses ","406001","","",
EE-2025-0000077,406001,Garden Maintenance Expenses,Gardener,05-04-2025,March 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000087,406001,Garden Maintenance Expenses,Gardener,30-04-2025,April 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000101,406001,Garden Maintenance Expenses,Gardener,31-05-2025,May 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000122,406001,Garden Maintenance Expenses,Gardener,30-06-2025,June 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000134,406001,Garden Maintenance Expenses,Gardener,31-07-2025,July 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000136,406001,Garden Maintenance Expenses,Gardener,31-08-2025,August 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000152,406001,Garden Maintenance Expenses,Gardener,30-09-2025,Sept 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000159,406001,Garden Maintenance Expenses,Gardener,31-10-2025,Oct 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000237,406001,Garden Maintenance Expenses,Gardener,03-12-2025,Nov 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000247,406001,Garden Maintenance Expenses,Gardener,01-01-2026,Dec - 2025,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000261,406001,Garden Maintenance Expenses,Gardener,01-02-2026,Jan 2026,,, Garden Maintenance Expenses ,406001,600,,
EE-2025-0000277,406001,Garden Maintenance Expenses,Gardener,01-03-2026,Feb 2026,,, Garden Maintenance Expenses ,406001,600,,
JE-2025-0000056,406001,Garden Maintenance Expenses,,01-04-2025,Being salaries provided for Mar 25 Reversed,,, Garden Maintenance Expenses ,406001,,600.00,
JE-2025-0000057,406001,Garden Maintenance Expenses,,31-03-2026,Being salaries provided for Mar 26,,, Garden Maintenance Expenses ,406001,600.00,,

"Balance : 7200(Debit)","","","","","","","","","","7800","600",

"Expenses  > Electrical Repair Maintenance ( 406007 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Electrical Repair Maintenance ","406007","","",
EE-2025-0000351,406007,Electrical Repair Maintenance,Bright Technology ,24-08-2025,WD 1 TB HDD,,, Electrical Repair Maintenance ,406007,4000,,
EE-2025-0000223,406007,Electrical Repair Maintenance,Unassigned,18-10-2025,Being paid to jagdish electrical lights for diwali,,, Electrical Repair Maintenance ,406007,1495,,
EE-2025-0000225,406007,Electrical Repair Maintenance,Unassigned,19-10-2025,Being paid to jagdish electrical lights for diwali,,, Electrical Repair Maintenance ,406007,290,,

"Balance : 5785(Debit)","","","","","","","","","","5785","0",

"Expenses  > Other Repair Maintenance ( 406008 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Other Repair Maintenance ","406008","","",
EE-2025-0000093,406008,Other Repair Maintenance,Cleaner,01-04-2025,March 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000079,406008,Other Repair Maintenance,Unassigned,15-04-2025,Being cash paid to Vijay for picking mangoes,,, Other Repair Maintenance ,406008,200,,
EE-2025-0000099,406008,Other Repair Maintenance,Cleaner,30-04-2025,April 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000107,406008,Other Repair Maintenance,Cleaner,31-05-2025,May 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000109,406008,Other Repair Maintenance,Unassigned,03-06-2025,Being cash paid to Jagdish for Cleaning solution purchased,,, Other Repair Maintenance ,406008,950,,
EE-2025-0000055,406008,Other Repair Maintenance,Unassigned,06-06-2025,Fabrication work,,, Other Repair Maintenance ,406008,5000,,
EE-2025-0000057,406008,Other Repair Maintenance,Unassigned,06-06-2025,Alumnium jali,,, Other Repair Maintenance ,406008,1250,,
EE-2025-0000111,406008,Other Repair Maintenance,Unassigned,17-06-2025,Lock 1 pc,,, Other Repair Maintenance ,406008,80,,
EE-2025-0000112,406008,Other Repair Maintenance,Unassigned,21-06-2025,Lock,,, Other Repair Maintenance ,406008,60,,
EE-2025-0000059,406008,Other Repair Maintenance,Unassigned,24-06-2025,Vertical Garden,,, Other Repair Maintenance ,406008,8075,,
EE-2025-0000118,406008,Other Repair Maintenance,Cleaner,30-06-2025,June 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000114,406008,Other Repair Maintenance,Unassigned,01-07-2025,Being cash paid for peetal tie purchased,,, Other Repair Maintenance ,406008,60,,
EE-2025-0000124,406008,Other Repair Maintenance,Unassigned,07-07-2025,Being cash paid for mat fixing to Jagdish,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000132,406008,Other Repair Maintenance,Cleaner,31-07-2025,July 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000140,406008,Other Repair Maintenance,Cleaner,31-08-2025,August 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000126,406008,Other Repair Maintenance,Unassigned,02-09-2025,Being cash reimbursed to Cliffy for lights purchased,,, Other Repair Maintenance ,406008,2310,,
EE-2026-0000001,406008,Other Repair Maintenance,Pravin Sarvaiya,17-09-2025,Being amount paid towards chember work fitting and welding work,,, Other Repair Maintenance ,406008,3400,,
EE-2025-0000148,406008,Other Repair Maintenance,Cleaner,30-09-2025,Sept  2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000183,406008,Other Repair Maintenance,Pravin Sarvaiya,16-10-2025,Being amount paid towards small gate repairing and service,,, Other Repair Maintenance ,406008,2000,,
EE-2025-0000165,406008,Other Repair Maintenance,Cleaner,31-10-2025,Oct 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000341,406008,Other Repair Maintenance,Unassigned,01-11-2025,Being bill paid for gutter clea ing,,, Other Repair Maintenance ,406008,1500,,
EE-2025-0000343,406008,Other Repair Maintenance,Unassigned,01-11-2025,Being bill paid for gutter clea ing,,, Other Repair Maintenance ,406008,1500,,
EE-2025-0000355,406008,Other Repair Maintenance,Unassigned,01-11-2025,Gutter Cleaning,,, Other Repair Maintenance ,406008,2000,,
EE-2025-0000235,406008,Other Repair Maintenance,Cleaner,03-12-2025,Nov 25,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000243,406008,Other Repair Maintenance,Cleaner,01-01-2026,Dec - 2025,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000263,406008,Other Repair Maintenance,Cleaner,01-02-2026,Jan 2026,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000347,406008,Other Repair Maintenance,Unassigned,10-02-2026,Gutter Cleaning,,, Other Repair Maintenance ,406008,8000,,
EE-2025-0000359,406008,Other Repair Maintenance,Unassigned,10-02-2026,Reimbursed To Kiran Iyer,,, Other Repair Maintenance ,406008,3000,,
EE-2025-0000265,406008,Other Repair Maintenance,Unassigned,20-02-2026,Being amount paid towards Cliffy Glue for Pipes,,, Other Repair Maintenance ,406008,100,,
EE-2025-0000267,406008,Other Repair Maintenance,Unassigned,20-02-2026,Being amount paid towards halogen lights,,, Other Repair Maintenance ,406008,700,,
EE-2025-0000275,406008,Other Repair Maintenance,Cleaner,01-03-2026,Feb 2026,,, Other Repair Maintenance ,406008,1200,,
EE-2025-0000318,406008,Other Repair Maintenance,Unassigned,30-03-2026,Purchase of dustbin,,, Other Repair Maintenance ,406008,2500,,

"Balance : 58285(Debit)","","","","","","","","","","58285","0",

"Expenses  > Fire Fighting System Repairs & Maintenance ( 406011 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Fire Fighting System Repairs & Maintenance ","406011","","",
EE-2025-0000206,406011,Fire Fighting System Repairs & Maintenance,CEASEX FIRE FIGHTERS,27-02-2026,Being amount paid towards purchase of fire extinguisher,,, Fire Fighting System Repairs & Maintenance ,406011,20178,,
EE-2025-0000208,406011,Fire Fighting System Repairs & Maintenance,CEASEX FIRE FIGHTERS,27-02-2026,Being amount paid to powder for abc 4kg capacity fire extingusher,,, Fire Fighting System Repairs & Maintenance ,406011,472,,

"Balance : 20650(Debit)","","","","","","","","","","20650","0",

"Expenses  > Major Repairs ( 406012 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Major Repairs ","406012","","",
EE-2026-0000009,406012,Major Repairs,Leakhalt Associates,07-07-2025,Scaffolding  jet cleaning  filing up cracks with Dr. Fixit paste,,, Major Repairs ,406012,234625,,
JE-2025-0000068,406012,Major Repairs,,31-03-2026,Being expenses incurred during FY 25-26 trfd to liability,,, Major Repairs ,406012,,234625.00,

"","","","","","","","","","","234625","234625",

"Expenses  > Depreciation ( 407007 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Depreciation ","407007","","",
JE-2025-0000064,407007,Depreciation,,31-03-2026,Being Depriciation 15% on LED  Water pump  CCTV 10% on Furniture,,, Depreciation ,407007,3431.00,,

"Balance : 3431(Debit)","","","","","","","","","","3431","0",

"Expenses  > Subscription Federation ( 407009 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Subscription Federation ","407009","","",
EE-2026-0000005,407009,Subscription Federation,MDCH Federation,18-08-2025,FY 2025 - 2026,,, Subscription Federation ,407009,826,,

"Balance : 826(Debit)","","","","","","","","","","826","0",

"Expenses  > Audit Fees ( 407011 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Audit Fees ","407011","","",
EE-2025-0000349,407011,Audit Fees,Audiors Fees,27-10-2025,FY 24-25,,, Audit Fees ,407011,2000,,
JE-2025-0000058,407011,Audit Fees,,01-04-2025,Being provision made for FY 24-25 charged back,,, Audit Fees ,407011,,1500.00,
JE-2025-0000059,407011,Audit Fees,,31-03-2026,Being provision made for FY 25-26,,, Audit Fees ,407011,2000.00,,

"Balance : 2500(Debit)","","","","","","","","","","4000","1500",

"Expenses  > CCTV AMC Expenses ( 407013 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," CCTV AMC Expenses ","407013","","",
EE-2025-0000363,407013,CCTV AMC Expenses,Bright Technology ,10-09-2025,10.09.2025 TO 10.09.2026,,, CCTV AMC Expenses ,407013,2500,,
JE-2025-0000069,407013,CCTV AMC Expenses,,31-03-2026,Being prepaid for CCTV AMC 01.04.26 to 10.09.26,,, CCTV AMC Expenses ,407013,,1110.00,

"Balance : 1390(Debit)","","","","","","","","","","2500","1110",

"Expenses  > Accounting Charges ( 408002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Accounting Charges ","408002","","",
EE-2025-0000001,408002,Accounting Charges,Irene Rosario,01-04-2025,Apr to June 2025,,, Accounting Charges ,408002,2274,,
EE-2025-0000045,408002,Accounting Charges,Irene Rosario,01-07-2025,Jul to Sept 25,,, Accounting Charges ,408002,2274,,
EE-2025-0000064,408002,Accounting Charges,Irene Rosario,01-10-2025,Oct to Dec-2025,,, Accounting Charges ,408002,2274,,
EE-2025-0000310,408002,Accounting Charges,Irene Rosario,01-01-2026,Jan to March 2026,,, Accounting Charges ,408002,2274,,

"Balance : 9096(Debit)","","","","","","","","","","9096","0",

"Expenses  > Conveyance Charges ( 408006 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Conveyance Charges ","408006","","",
EE-2025-0000142,408006,Conveyance Charges,Unassigned,02-09-2025,Being cash paid towards Conveyance to Girish for Citizen bank deposit,,, Conveyance Charges ,408006,100,,

"Balance : 100(Debit)","","","","","","","","","","100","0",

"Expenses  > Professional Fees ( 408010 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Professional Fees ","408010","","",
EE-2025-0000002,408010,Professional Fees,Irene Rosario,01-04-2025,TAN Processing Charges,,, Professional Fees ,408010,400,,
EE-2025-0000047,408010,Professional Fees,Irene Rosario,29-07-2025,TDS return filling Jan to March 2025,,, Professional Fees ,408010,1000,,
EE-2025-0000302,408010,Professional Fees,Irene Rosario,01-08-2025,TDS retrun filing Apr to June 2025,,, Professional Fees ,408010,1000,,
EE-2025-0000065,408010,Professional Fees,Irene Rosario,01-11-2025,Filing TDS Returns July to Sept 25,,, Professional Fees ,408010,1000,,
EE-2025-0000311,408010,Professional Fees,Irene Rosario,01-01-2026,Income Tax Return FY 24-25,,, Professional Fees ,408010,1500,,
JE-2025-0000062,408010,Professional Fees,,01-04-2025,Being provision made for FY 24-25 Income Tax Retruns Reversed,,, Professional Fees ,408010,,1500.00,
JE-2025-0000063,408010,Professional Fees,,31-03-2026,Being provision made for FY 25-26 Income Tax Retruns,,, Professional Fees ,408010,1500.00,,

"Balance : 4900(Debit)","","","","","","","","","","6400","1500",

"Expenses  > Bank Charges ( 408011 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Bank Charges ","408011","","",
EE-2025-0000014,408011,Bank Charges,Unassigned,04-04-2025,Being SMS Banking charges for quater ending 31.03.25,,, Bank Charges ,408011,11.34,,
